Time,Load (%),Temperature (C),Memory (MB),Stress_Level,Suggestion
1774681953.283138,0.0,60.0,273.0,Low Stress,Increase workload
1774681953.3235238,0.0,60.0,273.0,Low Stress,Increase workload
1774681953.3626502,0.0,60.0,273.0,Low Stress,Increase workload
1774681953.4031575,0.0,60.0,273.0,Low Stress,Increase workload
1774681953.444044,0.0,60.0,273.0,Low Stress,Increase workload
1774681953.4831185,11.0,60.0,273.0,Low Stress,Increase workload
1774681953.522235,11.0,60.0,273.0,Low Stress,Increase workload
1774681953.5641859,11.0,60.0,273.0,Low Stress,Increase workload
1774681953.6098025,11.0,60.0,273.0,Low Stress,Increase workload
1774681953.651416,11.0,60.0,273.0,Low Stress,Increase workload
1774681953.6913462,12.0,60.0,273.0,Low Stress,Increase workload
1774681953.7330813,12.0,60.0,273.0,Low Stress,Increase workload
1774681953.7726536,12.0,61.0,273.0,Low Stress,Increase workload
1774681953.8139536,12.0,60.0,273.0,Low Stress,Increase workload
1774681953.8599756,13.0,61.0,273.0,Low Stress,Increase workload
1774681953.9066348,13.0,60.0,273.0,Low Stress,Increase workload
1774681953.949715,13.0,60.0,273.0,Low Stress,Increase workload
1774681953.9927382,13.0,60.0,273.0,Low Stress,Increase workload
1774681954.035904,13.0,61.0,273.0,Low Stress,Increase workload
1774681954.0812995,13.0,61.0,273.0,Low Stress,Increase workload
1774681954.1255171,13.0,61.0,273.0,Low Stress,Increase workload
1774681954.1674402,13.0,60.0,273.0,Low Stress,Increase workload
1774681954.208909,13.0,60.0,273.0,Low Stress,Increase workload
1774681954.2506783,13.0,60.0,273.0,Low Stress,Increase workload
1774681954.2915058,10.0,60.0,273.0,Low Stress,Increase workload
1774681954.331815,10.0,60.0,273.0,Low Stress,Increase workload
1774681954.3726797,10.0,61.0,273.0,Low Stress,Increase workload
1774681954.4176028,10.0,61.0,273.0,Low Stress,Increase workload
1774681954.4804912,13.0,60.0,273.0,Low Stress,Increase workload
1774681954.5418003,13.0,61.0,273.0,Low Stress,Increase workload
1774681954.5960696,13.0,61.0,273.0,Low Stress,Increase workload
1774681954.6488152,13.0,61.0,273.0,Low Stress,Increase workload
1774681954.6986775,8.0,61.0,273.0,Low Stress,Increase workload
1774681954.7542112,8.0,61.0,273.0,Low Stress,Increase workload
1774681954.8043108,8.0,60.0,273.0,Low Stress,Increase workload
1774681954.8612313,9.0,61.0,273.0,Low Stress,Increase workload
1774681954.919804,9.0,61.0,273.0,Low Stress,Increase workload
1774681954.9732904,9.0,61.0,273.0,Low Stress,Increase workload
1774681955.0214784,9.0,61.0,273.0,Low Stress,Increase workload
1774681955.0718274,10.0,61.0,273.0,Low Stress,Increase workload
1774681955.1208344,10.0,61.0,273.0,Low Stress,Increase workload
1774681955.1696217,10.0,61.0,273.0,Low Stress,Increase workload
1774681955.2194886,10.0,61.0,273.0,Low Stress,Increase workload
1774681955.2735653,10.0,61.0,273.0,Low Stress,Increase workload
1774681955.3235753,10.0,61.0,273.0,Low Stress,Increase workload
1774681955.3744452,10.0,61.0,273.0,Low Stress,Increase workload
1774681955.4213634,10.0,61.0,273.0,Low Stress,Increase workload
1774681955.4709032,10.0,61.0,273.0,Low Stress,Increase workload
1774681955.516774,10.0,61.0,273.0,Low Stress,Increase workload
1774681955.5639784,10.0,61.0,273.0,Low Stress,Increase workload
1774681955.610007,10.0,61.0,273.0,Low Stress,Increase workload
1774681955.6597373,10.0,61.0,273.0,Low Stress,Increase workload
1774681955.7053459,10.0,61.0,273.0,Low Stress,Increase workload
1774681955.7521992,10.0,61.0,273.0,Low Stress,Increase workload
1774681955.798581,10.0,61.0,273.0,Low Stress,Increase workload
1774681955.8544626,10.0,61.0,273.0,Low Stress,Increase workload
1774681955.9153237,10.0,61.0,273.0,Low Stress,Increase workload
1774681955.9929657,10.0,61.0,273.0,Low Stress,Increase workload
1774681956.0513797,10.0,61.0,273.0,Low Stress,Increase workload
1774681956.1029646,9.0,61.0,273.0,Low Stress,Increase workload
1774681956.1697679,9.0,61.0,273.0,Low Stress,Increase workload
1774681956.2360792,9.0,61.0,273.0,Low Stress,Increase workload
1774681956.2907267,9.0,61.0,273.0,Low Stress,Increase workload
1774681956.3542838,9.0,61.0,273.0,Low Stress,Increase workload
1774681956.4154615,9.0,61.0,273.0,Low Stress,Increase workload
1774681956.477554,8.0,61.0,273.0,Low Stress,Increase workload
1774681956.5170968,8.0,61.0,273.0,Low Stress,Increase workload
1774681956.5578525,8.0,61.0,273.0,Low Stress,Increase workload
1774681956.5961418,8.0,61.0,273.0,Low Stress,Increase workload
1774681956.636295,8.0,61.0,273.0,Low Stress,Increase workload
1774681956.675759,13.0,61.0,273.0,Low Stress,Increase workload
1774681956.7141695,13.0,61.0,273.0,Low Stress,Increase workload
1774681956.7535093,13.0,61.0,273.0,Low Stress,Increase workload
1774681956.7924588,13.0,61.0,273.0,Low Stress,Increase workload
1774681956.831741,13.0,61.0,273.0,Low Stress,Increase workload
1774681956.8726208,13.0,61.0,273.0,Low Stress,Increase workload
1774681956.9125047,13.0,61.0,273.0,Low Stress,Increase workload
1774681956.9528172,13.0,61.0,273.0,Low Stress,Increase workload
1774681956.9934645,13.0,61.0,273.0,Low Stress,Increase workload
1774681957.0462115,13.0,61.0,273.0,Low Stress,Increase workload
1774681957.0918956,13.0,61.0,273.0,Low Stress,Increase workload
1774681957.1334288,13.0,61.0,273.0,Low Stress,Increase workload
1774681957.1729357,13.0,61.0,273.0,Low Stress,Increase workload
1774681957.2156196,13.0,61.0,273.0,Low Stress,Increase workload
1774681957.2603824,13.0,61.0,273.0,Low Stress,Increase workload
1774681957.3069122,10.0,61.0,273.0,Low Stress,Increase workload
1774681957.353911,10.0,61.0,273.0,Low Stress,Increase workload
1774681957.3967555,10.0,61.0,273.0,Low Stress,Increase workload
1774681957.4378736,10.0,61.0,273.0,Low Stress,Increase workload
1774681957.476934,13.0,61.0,273.0,Low Stress,Increase workload
1774681957.5162125,13.0,61.0,273.0,Low Stress,Increase workload
1774681957.5558813,13.0,61.0,273.0,Low Stress,Increase workload
1774681957.5962634,13.0,61.0,273.0,Low Stress,Increase workload
1774681957.6369915,13.0,61.0,273.0,Low Stress,Increase workload
1774681957.6760662,13.0,61.0,273.0,Low Stress,Increase workload
1774681957.716152,13.0,61.0,273.0,Low Stress,Increase workload
1774681957.7606058,13.0,61.0,273.0,Low Stress,Increase workload
1774681957.8017387,13.0,61.0,273.0,Low Stress,Increase workload
1774681957.8450544,13.0,61.0,273.0,Low Stress,Increase workload
1774681957.886344,13.0,61.0,273.0,Low Stress,Increase workload
1774681957.9269998,13.0,61.0,273.0,Low Stress,Increase workload
1774681957.9688673,13.0,61.0,273.0,Low Stress,Increase workload
1774681958.0105891,13.0,61.0,273.0,Low Stress,Increase workload
1774681958.057994,13.0,61.0,273.0,Low Stress,Increase workload
1774681958.1068754,12.0,61.0,273.0,Low Stress,Increase workload
1774681958.1505454,12.0,61.0,273.0,Low Stress,Increase workload
1774681958.1946757,12.0,61.0,273.0,Low Stress,Increase workload
1774681958.236844,12.0,61.0,273.0,Low Stress,Increase workload
1774681958.2764866,11.0,61.0,273.0,Low Stress,Increase workload
1774681958.315877,11.0,61.0,273.0,Low Stress,Increase workload
1774681958.3569756,11.0,61.0,273.0,Low Stress,Increase workload
1774681958.3991482,11.0,61.0,273.0,Low Stress,Increase workload
1774681958.4419165,11.0,61.0,273.0,Low Stress,Increase workload
1774681958.484453,13.0,61.0,273.0,Low Stress,Increase workload
1774681958.5246348,13.0,61.0,273.0,Low Stress,Increase workload
1774681958.5655444,13.0,61.0,273.0,Low Stress,Increase workload
1774681958.6053643,13.0,61.0,273.0,Low Stress,Increase workload
1774681958.6443403,13.0,61.0,273.0,Low Stress,Increase workload
1774681958.6839623,13.0,61.0,273.0,Low Stress,Increase workload
1774681958.7250655,13.0,61.0,273.0,Low Stress,Increase workload
1774681958.7649975,13.0,61.0,273.0,Low Stress,Increase workload
1774681958.80488,13.0,61.0,273.0,Low Stress,Increase workload
1774681958.8447413,13.0,61.0,273.0,Low Stress,Increase workload
1774681958.8841474,13.0,61.0,273.0,Low Stress,Increase workload
1774681958.923886,13.0,61.0,273.0,Low Stress,Increase workload
1774681958.9643803,13.0,61.0,273.0,Low Stress,Increase workload
1774681959.003388,13.0,61.0,273.0,Low Stress,Increase workload
1774681959.042507,13.0,61.0,273.0,Low Stress,Increase workload
1774681959.1017487,13.0,61.0,273.0,Low Stress,Increase workload
1774681959.143035,13.0,61.0,273.0,Low Stress,Increase workload
1774681959.182457,13.0,61.0,273.0,Low Stress,Increase workload
1774681959.2218695,13.0,61.0,273.0,Low Stress,Increase workload
1774681959.2736614,13.0,61.0,273.0,Low Stress,Increase workload
1774681959.3376207,10.0,61.0,273.0,Low Stress,Increase workload
1774681959.4013574,10.0,61.0,273.0,Low Stress,Increase workload
1774681959.4552834,10.0,61.0,273.0,Low Stress,Increase workload
1774681959.4997327,10.0,61.0,273.0,Low Stress,Increase workload
1774681959.5427098,10.0,61.0,273.0,Low Stress,Increase workload
1774681959.585964,10.0,61.0,273.0,Low Stress,Increase workload
1774681959.6280046,10.0,61.0,273.0,Low Stress,Increase workload
1774681959.6705997,10.0,61.0,273.0,Low Stress,Increase workload
1774681959.7097013,10.0,61.0,273.0,Low Stress,Increase workload
1774681959.7511396,10.0,61.0,273.0,Low Stress,Increase workload
1774681959.793895,10.0,61.0,273.0,Low Stress,Increase workload
1774681959.834164,10.0,61.0,273.0,Low Stress,Increase workload
1774681959.8731463,13.0,61.0,273.0,Low Stress,Increase workload
1774681959.912552,13.0,61.0,273.0,Low Stress,Increase workload
1774681959.9516141,13.0,61.0,273.0,Low Stress,Increase workload
1774681959.9928389,13.0,61.0,273.0,Low Stress,Increase workload
1774681960.0321767,13.0,61.0,273.0,Low Stress,Increase workload
1774681960.072766,13.0,61.0,273.0,Low Stress,Increase workload
1774681960.1252027,13.0,61.0,273.0,Low Stress,Increase workload
1774681960.166412,13.0,61.0,273.0,Low Stress,Increase workload
1774681960.2068775,13.0,61.0,273.0,Low Stress,Increase workload
1774681960.2471142,13.0,61.0,273.0,Low Stress,Increase workload
1774681960.2865932,13.0,61.0,273.0,Low Stress,Increase workload
1774681960.326124,13.0,61.0,273.0,Low Stress,Increase workload
1774681960.3666644,13.0,61.0,273.0,Low Stress,Increase workload
1774681960.4069035,13.0,61.0,273.0,Low Stress,Increase workload
1774681960.4489331,13.0,61.0,273.0,Low Stress,Increase workload
1774681960.4880242,13.0,61.0,273.0,Low Stress,Increase workload
1774681960.527363,13.0,61.0,273.0,Low Stress,Increase workload
1774681960.5686884,13.0,61.0,273.0,Low Stress,Increase workload
1774681960.6075878,13.0,61.0,273.0,Low Stress,Increase workload
1774681960.6462822,13.0,61.0,273.0,Low Stress,Increase workload
1774681960.6895664,13.0,61.0,273.0,Low Stress,Increase workload
1774681960.731012,13.0,61.0,273.0,Low Stress,Increase workload
1774681960.7706904,13.0,61.0,273.0,Low Stress,Increase workload
1774681960.809845,13.0,61.0,273.0,Low Stress,Increase workload
1774681960.8494935,13.0,61.0,273.0,Low Stress,Increase workload
1774681960.889603,13.0,61.0,273.0,Low Stress,Increase workload
1774681960.9306047,13.0,61.0,273.0,Low Stress,Increase workload
1774681960.9699724,13.0,61.0,273.0,Low Stress,Increase workload
1774681961.0097482,13.0,61.0,273.0,Low Stress,Increase workload
1774681961.0483556,13.0,61.0,273.0,Low Stress,Increase workload
1774681961.0932212,13.0,61.0,273.0,Low Stress,Increase workload
1774681961.136845,13.0,61.0,273.0,Low Stress,Increase workload
1774681961.1820989,13.0,61.0,273.0,Low Stress,Increase workload
1774681961.2242644,13.0,61.0,273.0,Low Stress,Increase workload
1774681961.2647166,13.0,61.0,273.0,Low Stress,Increase workload
1774681961.305232,13.0,61.0,273.0,Low Stress,Increase workload
1774681961.3452451,13.0,61.0,273.0,Low Stress,Increase workload
1774681961.3852565,13.0,61.0,273.0,Low Stress,Increase workload
